,AX,BX,NX,EX,EPX,Element,Length,Value,s(m),AY,BY,NY,EY,EPY,DetR,#,DX,DPX,DY,DPY,BeamSizeXm,BeamSizeYm
ESM18,-3.099,42.2671,4.3712,1.56409,0.06067,ESM18,0.0,0.0,225.212318,-0.39249,83.0349,4.62282,-0.19171,0.00368,-8e-09,191.0,0.00039,6.2e-05,-0.0013,-0.0002,0.003461238835446875,0.004696534016831774
LFT92,-3.099,42.2671,4.3712,1.56409,0.06067,LFT92,0.148,0.148,225.212318,-0.39249,83.0349,4.62282,-0.19171,0.00368,-8e-09,192.0,0.00039,6.2e-05,-0.0013,-0.0002,0.003461238835446875,0.004696534016831774
SSEM16,-3.1361,43.1899,4.37175,1.57306,0.06067,SSEM16,0.0,0.0,225.360318,-0.39455,83.1514,4.62311,-0.19113,0.00368,-8e-09,193.0,0.0004,6.2e-05,-0.0013,-0.0002,0.003497216212464771,0.004699684160205405
LFT93,-3.1361,43.1899,4.37175,1.57306,0.06067,LFT93,0.647,0.647,225.360318,-0.39455,83.1514,4.62311,-0.19113,0.00368,-8e-09,194.0,0.0004,6.2e-05,-0.0013,-0.0002,0.003497216212464771,0.004699684160205405
BFH2,-3.2984,47.3531,4.37403,1.61227,0.06067,BFH2,0.75,0.0,226.007318,-0.40354,83.6677,4.62434,-0.18859,0.00368,-8e-09,195.0,0.00044,6.2e-05,-0.0014,-0.0002,0.0036549193292078445,0.004713628373685924
LFT94,-3.4866,52.4419,4.37643,1.65776,0.06067,LFT94,1.045,1.045,226.757318,-0.41396,84.2809,4.62576,-0.18565,0.00368,-8e-09,196.0,0.00045,-3e-05,-0.0016,-0.0002,0.0038385101749955778,0.004730142175021487
BFVD1,-3.7487,60.0028,4.37939,1.72119,0.06067,BFVD1,2.00005,-0.0237365,227.802318,-0.42849,85.1612,4.62772,-0.18156,0.00368,-8e-09,197.0,0.00041,-3e-05,-0.0019,-0.0002,0.004095500323785186,0.004753770122842695
LFT95,-4.2292,75.9642,4.38411,1.84197,0.06016,LFT95,1.0,1.0,229.802372,-0.45628,86.9296,4.63142,-0.14999,0.02742,-8e-09,198.0,0.00034,-3e-05,-0.0024,-0.0002,0.004589205435106681,0.004796184612771107
QFQ4,-4.4778,84.6713,4.38609,1.90217,0.06016,QFQ4,1.5,0.0512903,230.802372,-0.47018,87.8561,4.63325,-0.12234,0.02742,-8e-09,199.0,0.00031,-3e-05,-0.0026,-0.0002,0.004836581497718233,0.004815984916396013
LFT96,-0.03699,91.6228,4.38877,1.91859,-0.03846,LFT96,0.558,0.558,232.302372,-5.3072,96.3066,4.63587,-0.08502,0.02213,-8e-09,200.0,0.00026,-3e-05,-0.003,-0.0003,0.005019183728453332,0.005033669053719624
SSEM17,-0.04308,91.6675,4.38974,1.89715,-0.03846,SSEM17,0.0,0.0,232.860372,-5.4762,102.323,4.63677,-0.07251,0.02213,-8e-09,201.0,0.00024,-3e-05,-0.0031,-0.0003,0.005016025073478002,0.005185510366065241
LFT97,-0.04308,91.6675,4.38974,1.89715,-0.03846,LFT97,0.14777,0.1477743,232.860372,-5.4762,102.323,4.63677,-0.07251,0.02213,-8e-09,202.0,0.00024,-3e-05,-0.0031,-0.0003,0.005016025073478002,0.005185510366065241
ESM19,-0.0447,91.6805,4.38999,1.89147,-0.03846,ESM19,0.0,0.0,233.008146,-5.5209,103.948,4.637,-0.0692,0.02213,-8e-09,203.0,0.00024,-3e-05,-0.0032,-0.0003,0.005015217351111511,0.005225748611297508
LFT98,-0.0447,91.6805,4.38999,1.89147,-0.03846,LFT98,0.592,0.592,233.008146,-5.5209,103.948,4.637,-0.0692,0.02213,-8e-09,204.0,0.00024,-3e-05,-0.0032,-0.0003,0.005015217351111511,0.005225748611297508
BFVD2,-0.05117,91.7372,4.39102,1.86872,-0.03846,BFVD2,2.50018,-0.0397411,233.600146,-5.7002,110.591,4.63788,-0.05592,0.02213,-8e-09,205.0,0.00022,-3e-05,-0.0034,-0.0003,0.005012102299681596,0.005387050630695228
LFT99,-0.02043,91.9185,4.39535,1.7709,-0.03961,LFT99,0.559,0.559,236.100328,-6.4571,140.974,4.64106,0.04979,0.06188,-8e-09,206.0,0.00015,-3e-05,-0.0041,-0.0003,0.00499711790570975,0.006079526767776545
ESM20,-0.02651,91.9447,4.39632,1.74878,-0.03961,ESM20,0.0,0.0,236.659328,-6.6264,148.288,4.64168,0.08454,0.06188,-8e-09,207.0,0.00013,-3e-05,-0.0042,-0.0003,0.004993355923895912,0.006241930779334232
LFT100,-0.02651,91.9447,4.39632,1.74878,-0.03961,LFT100,0.14863,0.1486253,236.659328,-6.6264,148.288,4.64168,0.08454,0.06188,-8e-09,208.0,0.00013,-3e-05,-0.0042,-0.0003,0.004993355923895912,0.006241930779334232
SSEM18,-0.02813,91.9529,4.39658,1.74289,-0.03961,SSEM18,0.0,0.0,236.807954,-6.6714,150.265,4.64184,0.09378,0.06188,-8e-09,209.0,0.00013,-3e-05,-0.0043,-0.0003,0.0049923845868905135,0.006285125454341084
LFT101,-0.02813,91.9529,4.39658,1.74289,-0.03961,LFT101,0.185,0.185,236.807954,-6.6714,150.265,4.64184,0.09378,0.06188,-8e-09,210.0,0.00013,-3e-05,-0.0043,-0.0003,0.0049923845868905135,0.006285125454341084
CT05,-0.03014,91.9636,4.3969,1.73557,-0.03961,CT05,0.0,0.0,236.992954,-6.7275,152.743,4.64203,0.10528,0.06188,-8e-09,211.0,0.00012,-3e-05,-0.0043,-0.0003,0.004991192472704266,0.006338900187109926
LFT102,-0.03014,91.9636,4.3969,1.73557,-0.03961,LFT102,1.4174,1.4174,236.992954,-6.7275,152.743,4.64203,0.10528,0.06188,-8e-09,212.0,0.00012,-3e-05,-0.0043,-0.0003,0.004991192472704266,0.006338900187109926
SSEM19,-0.04557,92.071,4.39935,1.67948,-0.03961,SSEM19,0.0,0.0,238.410354,-7.1567,172.423,4.64342,0.1934,0.06188,-8e-09,213.0,8.2e-05,-3e-05,-0.0047,-0.0003,0.004982682251437028,0.006751193666363768
LFT103,-0.04557,92.071,4.39935,1.67948,-0.03961,LFT103,0.204,0.204,238.410354,-7.1567,172.423,4.64342,0.1934,0.06188,-8e-09,214.0,8.2e-05,-3e-05,-0.0047,-0.0003,0.004982682251437028,0.006751193666363768
ESM21,-0.04779,92.09,4.3997,1.6714,-0.03961,ESM21,0.0,0.0,238.614354,-7.2185,175.356,4.64361,0.20608,0.06188,-8e-09,215.0,7.7e-05,-3e-05,-0.0048,-0.0003,0.0049815481194970465,0.006810572551533804
LFT104,-0.04779,92.09,4.3997,1.6714,-0.03961,LFT104,1.5891,1.5891,238.614354,-7.2185,175.356,4.64361,0.20608,0.06188,-8e-09,216.0,7.7e-05,-3e-05,-0.0048,-0.0003,0.0049815481194970465,0.006810572551533804
BAFFLE,-0.06509,92.2694,4.40245,1.60851,-0.03961,BAFFLE,0.0,0.0,240.203454,-7.6998,199.062,4.64496,0.30487,0.06188,-8e-09,217.0,3.1e-05,-3e-05,-0.0053,-0.0003,0.004973493677561686,0.007273413473868739
LFT105,-0.06509,92.2694,4.40245,1.60851,-0.03961,LFT105,1.05214,1.05214,240.203454,-7.6998,199.062,4.64496,0.30487,0.06188,-8e-09,218.0,3.1e-05,-3e-05,-0.0053,-0.0003,0.004973493677561686,0.007273413473868739
OTR,-0.07654,92.4184,4.40426,1.56687,-0.03961,OTR,0.0,0.0,241.255594,-8.0184,215.6,4.64577,0.37028,0.06188,-8e-09,219.0,-5e-16,-3e-05,-0.0056,-0.0003,0.004968920291205464,0.007580118467177891
LFT106,-0.07654,92.4184,4.40426,1.56687,-0.03961,LFT106,0.76936,0.76936,241.255594,-8.0184,215.6,4.64577,0.37028,0.06188,-8e-09,220.0,-5e-16,-3e-05,-0.0056,-0.0003,0.004968920291205464,0.007580118467177891
TARGET,-0.08491,92.5426,4.40558,1.53642,-0.03961,TARGET,0.0,0.0,242.024954,-8.2514,228.118,4.64632,0.41811,0.06188,-8e-09,221.0,-2e-05,-3e-05,-0.0058,-0.0003,0.004965958086167814,0.007804505906468195
$$$,-0.08491,92.5426,4.40558,1.53642,-0.03961,$$$,0.0,0.0,242.024954,-8.2514,228.118,4.64632,0.41811,0.06188,-8e-09,222.0,-2e-05,-3e-05,-0.0058,-0.0003,0.004965958086167814,0.007804505906468195
